COD_UNICO_ENDERECO;COD_UF;COD_MUNICIPIO;COD_DISTRITO;COD_SUBDISTRITO;COD_SETOR;NUM_QUADRA;NUM_FACE;CEP;DSC_LOCALIDADE;NOM_TIPO_SEGLOGR;NOM_TITULO_SEGLOGR;NOM_SEGLOGR;NUM_ENDERECO;DSC_MODIFICADOR;NOM_COMP_ELEM1;VAL_COMP_ELEM1;NOM_COMP_ELEM2;VAL_COMP_ELEM2;NOM_COMP_ELEM3;VAL_COMP_ELEM3;NOM_COMP_ELEM4;VAL_COMP_ELEM4;NOM_COMP_ELEM5;VAL_COMP_ELEM5;LATITUDE;LONGITUDE;NV_GEO_COORD;COD_ESPECIE;DSC_ESTABELECIMENTO;COD_INDICADOR_ESTAB_ENDERECO;COD_INDICADOR_CONST_ENDERECO;COD_INDICADOR_FINALIDADE_CONST;COD_TIPO_ESPECI
203469169;35;3550308;355030825;35503082500;355030825000344P;1;5;08490010;CONJUNTO HABITACIONAL INACIO MONTEIRO;AVENIDA;DOUTOR;GUILHERME DE ABREU SODRE;1076;;LOJA;1076 E;;;;;;;;;-23.570097;-46.406596;1;6;BORRACHARIA VISTA ALEGRE2;1;;;
60804403;35;3550308;355030871;35503087100;355030871000178P;1;1;04726160;CHACARA SAO LUIS;AVENIDA;PROFESSOR;ALCEU MAYNARD ARAUJO;43;;BLOCO;2;APARTAMENTO;94;;;;;;;-23.635107;-46.710364;4;1;;;;;103
103774342;35;3550308;355030871;35503087100;355030871000235P;1;1;04757020;SANTO AMARO;AVENIDA;DOUTOR;MARIO VILAS BOAS RODRIGUES;175;;EDIFICIO;VARANDA;ALA;ARIZONA;BLOCO;TUCSON;APARTAMENTO;243;;;-23.651988;-46.720064;3;1;;;;;103
60804467;35;3550308;355030871;35503087100;355030871000178P;1;1;04726160;CHACARA SAO LUIS;AVENIDA;PROFESSOR;ALCEU MAYNARD ARAUJO;43;;BLOCO;3;APARTAMENTO;102;;;;;;;-23.635107;-46.710364;4;1;;;;;103
103774360;35;3550308;355030871;35503087100;355030871000235P;1;1;04757020;SANTO AMARO;AVENIDA;DOUTOR;MARIO VILAS BOAS RODRIGUES;175;;EDIFICIO;VARANDA;ALA;ARIZONA;BLOCO;TUCSON;APARTAMENTO;191;;;-23.651988;-46.720064;2;1;;;;;103
103774365;35;3550308;355030871;35503087100;355030871000235P;1;1;04757020;SANTO AMARO;AVENIDA;DOUTOR;MARIO VILAS BOAS RODRIGUES;175;;EDIFICIO;VARANDA;ALA;ARIZONA;BLOCO;TUCSON;APARTAMENTO;182;;;-23.651988;-46.720064;2;1;;;;;103
103774389;35;3550308;355030871;35503087100;355030871000235P;1;1;04757020;SANTO AMARO;AVENIDA;DOUTOR;MARIO VILAS BOAS RODRIGUES;175;;EDIFICIO;VARANDA;ALA;ARIZONA;BLOCO;TUCSON;APARTAMENTO;122;;;-23.651988;-46.720064;2;1;;;;;103
103774409;35;3550308;355030871;35503087100;355030871000235P;1;1;04757020;SANTO AMARO;AVENIDA;DOUTOR;MARIO VILAS BOAS RODRIGUES;175;;EDIFICIO;VARANDA;ALA;ARIZONA;BLOCO;TUCSON;APARTAMENTO;72;;;-23.651988;-46.720064;2;1;;;;;103
60801405;35;3550308;355030871;35503087100;355030871000172P;6;4;04752010;VILA CAMPOS SALES;RUA;;PAULO EIRO;156;;;;;;;;;;;;-23.653575;-46.707677;1;6;VARIAS LOJAS;4;;;
103774543;35;3550308;355030871;35503087100;355030871000235P;1;1;04757020;SANTO AMARO;AVENIDA;DOUTOR;MARIO VILAS BOAS RODRIGUES;175;;EDIFICIO;VARANDA;ALA;VERMONT;BLOCO;MANCHESTER;APARTAMENTO;142;;;-23.651955;-46.720103;2;1;;;;;103